Rounded Date,Rainfall,OBS DATE,VALUE,Cumulative Daily Rainfall,Total Daily Rainfall
2017-07-24 13:00:00,0.0,2017-07-24 13:03:00,89.12,0.0,0.0
2017-07-25 01:00:00,0.0,2017-07-25 01:01:00,89.12,0.0,0.0
2017-07-25 13:00:00,0.0,2017-07-25 13:01:00,89.12,0.0,0.0
2017-07-26 01:00:00,0.0,2017-07-26 01:01:00,89.12,0.0,0.0
2017-07-26 13:00:00,0.0,2017-07-26 13:01:00,89.12,0.0,0.0
2017-07-27 01:00:00,0.0,2017-07-27 01:01:00,89.12,0.0,0.0
2017-07-31 13:00:00,0.0,2017-07-31 13:01:00,89.12,0.0,0.0
2017-08-01 13:00:00,0.0,2017-08-01 13:01:00,89.12,0.0,0.0
2017-08-02 13:00:00,0.0,2017-08-02 13:01:00,89.12,0.0,0.0
2017-08-03 01:00:00,0.0,2017-08-03 01:01:00,89.12,0.0,0.0
2017-08-03 13:00:00,0.0,2017-08-03 13:01:00,89.12,0.0,0.0
2017-08-05 01:00:00,0.0,2017-08-05 01:01:00,89.12,0.0,0.0
2017-08-05 13:00:00,0.0,2017-08-05 13:01:00,89.12,0.0,0.0
2017-08-06 13:00:00,0.0,2017-08-06 13:01:00,89.12,0.0,0.0
2017-08-09 13:00:00,0.0,2017-08-09 13:01:00,89.12,0.0,0.0
2017-08-10 01:00:00,0.0,2017-08-10 01:01:00,89.12,0.0,0.0
2017-08-12 13:00:00,0.0,2017-08-12 13:01:00,89.12,0.0,0.0
2017-08-13 01:00:00,0.0,2017-08-13 01:01:00,89.12,0.0,0.0
2017-08-13 13:00:00,0.0,2017-08-13 13:01:00,89.12,0.0,0.0
2017-08-14 01:00:00,0.0,2017-08-14 01:01:00,89.12,0.0,0.0
2017-08-14 13:00:00,0.0,2017-08-14 13:01:00,89.12,0.0,0.0
2017-08-15 01:00:00,0.0,2017-08-15 01:01:00,89.12,0.0,0.0
2017-08-15 13:00:00,0.0,2017-08-15 13:01:00,89.12,0.0,0.0
2017-08-16 01:00:00,0.0,2017-08-16 01:01:00,89.12,0.0,0.0
