Rounded Date,Rainfall,OBS DATE,VALUE,Cumulative Daily Rainfall,Event ID,Cumulative Rainfall per Event
2021-02-01 18:00:00,0.0400000000000009,2021-02-01 17:34:00,13.82,0.1099999999999994,1287,0.0400000000000009
2021-02-01 21:00:00,0.08,2021-02-01 20:44:00,13.86,0.1899999999999995,1288,0.08
2021-02-02 00:00:00,0.0399999999999991,2021-02-01 23:47:00,13.94,0.2299999999999986,1289,0.0399999999999991
2021-02-02 01:00:00,0.08,2021-02-02 00:33:00,13.98,0.08,1290,0.08
2021-02-02 02:00:00,0.2400000000000002,2021-02-02 01:31:00,14.06,0.3200000000000003,1291,0.2400000000000002
2021-02-02 03:00:00,0.120000000000001,2021-02-02 02:33:00,14.3,0.4400000000000013,1292,0.120000000000001
2021-02-02 04:00:00,0.1499999999999985,2021-02-02 03:39:00,14.41,0.5899999999999999,1293,0.1499999999999985
2021-02-02 05:00:00,0.120000000000001,2021-02-02 04:41:00,14.57,0.7100000000000009,1294,0.120000000000001
2021-02-02 06:00:00,0.08,2021-02-02 05:38:00,14.69,0.7900000000000009,1295,0.08
2021-02-02 07:00:00,0.08,2021-02-02 06:59:00,14.77,0.870000000000001,1296,0.08
2021-02-02 08:00:00,0.0399999999999991,2021-02-02 07:48:00,14.85,0.91,1297,0.0399999999999991
2021-02-02 09:00:00,0.0400000000000009,2021-02-02 08:52:00,14.89,0.9500000000000012,1298,0.0400000000000009
2021-02-02 12:00:00,0.0,2021-02-02 11:57:00,14.89,0.9500000000000012,1298,0.0400000000000009
2021-02-03 00:00:00,0.0,2021-02-02 23:57:00,14.89,0.9500000000000012,1298,0.0400000000000009
2021-02-03 12:00:00,0.0,2021-02-03 11:57:00,14.89,0.0,1298,0.0400000000000009
2021-02-04 00:00:00,0.0,2021-02-03 23:57:00,14.89,0.0,1298,0.0400000000000009
2021-02-04 12:00:00,0.0,2021-02-04 11:57:00,14.89,0.0,1298,0.0400000000000009
2021-02-05 00:00:00,0.0,2021-02-04 23:57:00,14.89,0.0,1298,0.0400000000000009
2021-02-05 12:00:00,0.0,2021-02-05 11:57:00,14.89,0.0,1298,0.0400000000000009
2021-02-06 00:00:00,0.0,2021-02-05 23:57:00,14.89,0.0,1298,0.0400000000000009
2021-02-06 12:00:00,0.0,2021-02-06 11:57:00,14.89,0.0,1298,0.0400000000000009
2021-02-07 00:00:00,0.0,2021-02-06 23:57:00,14.89,0.0,1298,0.0400000000000009
2021-02-07 12:00:00,0.0,2021-02-07 11:57:00,14.89,0.0,1298,0.0400000000000009
2021-02-08 00:00:00,0.0,2021-02-07 23:57:00,14.89,0.0,1298,0.0400000000000009
2021-02-08 12:00:00,0.0,2021-02-08 11:57:00,14.89,0.0,1298,0.0400000000000009
2021-02-09 00:00:00,0.0,2021-02-08 23:57:00,14.89,0.0,1298,0.0400000000000009
2021-02-09 12:00:00,0.0,2021-02-09 11:57:00,14.89,0.0,1298,0.0400000000000009
2021-02-10 00:00:00,0.0,2021-02-09 23:57:00,14.89,0.0,1298,0.0400000000000009
2021-02-10 12:00:00,0.0,2021-02-10 11:57:00,14.89,0.0,1298,0.0400000000000009
2021-02-11 00:00:00,0.0,2021-02-10 23:57:00,14.89,0.0,1298,0.0400000000000009
2021-02-11 12:00:00,0.0,2021-02-11 11:57:00,14.89,0.0,1298,0.0400000000000009
2021-02-11 16:00:00,0.0399999999999991,2021-02-11 16:06:00,14.93,0.0399999999999991,1299,0.0399999999999991
2021-02-11 17:00:00,0.0400000000000009,2021-02-11 17:02:00,14.97,0.08,1300,0.0400000000000009
2021-02-11 18:00:00,0.0399999999999991,2021-02-11 18:22:00,15.01,0.1199999999999992,1301,0.0399999999999991
2021-02-11 19:00:00,0.0400000000000009,2021-02-11 19:25:00,15.05,0.1600000000000001,1302,0.0400000000000009
2021-02-11 20:00:00,0.0299999999999993,2021-02-11 20:10:00,15.08,0.1899999999999995,1303,0.0299999999999993
2021-02-11 21:00:00,0.08,2021-02-11 20:37:00,15.12,0.2699999999999996,1304,0.08
2021-02-11 22:00:00,0.1199999999999992,2021-02-11 21:31:00,15.2,0.3899999999999988,1305,0.1199999999999992
2021-02-12 00:00:00,0.0,2021-02-11 23:57:00,15.28,0.3899999999999988,1305,0.1199999999999992
2021-02-12 12:00:00,0.0,2021-02-12 11:57:00,15.28,0.0,1305,0.1199999999999992
2021-02-13 00:00:00,0.0,2021-02-12 23:57:00,15.28,0.0,1305,0.1199999999999992
2021-02-13 09:00:00,0.0400000000000009,2021-02-13 08:46:00,15.32,0.0400000000000009,1306,0.0400000000000009
2021-02-13 12:00:00,0.0,2021-02-13 11:57:00,15.32,0.0400000000000009,1306,0.0400000000000009
2021-02-14 00:00:00,0.0,2021-02-13 23:57:00,15.32,0.0400000000000009,1306,0.0400000000000009
2021-02-14 12:00:00,0.0,2021-02-14 11:57:00,15.32,0.0,1306,0.0400000000000009
2021-02-15 00:00:00,0.0,2021-02-14 23:57:00,15.32,0.0,1306,0.0400000000000009
2021-02-15 08:00:00,0.0399999999999991,2021-02-15 08:05:00,15.36,0.0399999999999991,1307,0.0399999999999991
2021-02-15 12:00:00,0.0,2021-02-15 11:57:00,15.36,0.0399999999999991,1307,0.0399999999999991
2021-02-16 00:00:00,0.0,2021-02-15 23:57:00,15.36,0.0399999999999991,1307,0.0399999999999991
2021-02-16 12:00:00,0.0,2021-02-16 11:57:00,15.36,0.0,1307,0.0399999999999991
2021-02-17 00:00:00,0.0,2021-02-16 23:57:00,15.36,0.0,1307,0.0399999999999991
2021-02-17 12:00:00,0.0,2021-02-17 11:57:00,15.36,0.0,1307,0.0399999999999991
2021-02-18 00:00:00,0.0,2021-02-17 23:57:00,15.36,0.0,1307,0.0399999999999991
2021-02-18 12:00:00,0.0,2021-02-18 11:57:00,15.36,0.0,1307,0.0399999999999991
2021-02-19 00:00:00,0.0,2021-02-18 23:57:00,15.36,0.0,1307,0.0399999999999991
2021-02-19 10:00:00,0.0400000000000009,2021-02-19 09:55:00,15.4,0.0400000000000009,1308,0.0400000000000009
2021-02-19 12:00:00,0.0,2021-02-19 11:57:00,15.4,0.0400000000000009,1308,0.0400000000000009
2021-02-20 00:00:00,0.0,2021-02-19 23:57:00,15.4,0.0400000000000009,1308,0.0400000000000009
2021-02-20 12:00:00,0.0,2021-02-20 11:57:00,15.4,0.0,1308,0.0400000000000009
2021-02-21 00:00:00,0.0,2021-02-20 23:57:00,15.4,0.0,1308,0.0400000000000009
2021-02-21 12:00:00,0.0,2021-02-21 11:57:00,15.4,0.0,1308,0.0400000000000009
2021-02-22 12:00:00,0.0,2021-02-22 11:57:00,15.4,0.0,1308,0.0400000000000009
2021-02-23 12:00:00,0.0,2021-02-23 11:57:00,15.4,0.0,1308,0.0400000000000009
2021-02-24 00:00:00,0.0,2021-02-23 23:57:00,15.4,0.0,1308,0.0400000000000009
2021-02-24 12:00:00,0.0,2021-02-24 11:57:00,15.4,0.0,1308,0.0400000000000009
2021-02-25 12:00:00,0.0,2021-02-25 11:57:00,15.4,0.0,1308,0.0400000000000009
2021-02-26 00:00:00,0.0,2021-02-25 23:57:00,15.4,0.0,1308,0.0400000000000009
2021-02-26 12:00:00,0.0,2021-02-26 11:57:00,15.4,0.0,1308,0.0400000000000009
2021-02-27 00:00:00,0.0,2021-02-26 23:57:00,15.4,0.0,1308,0.0400000000000009
2021-02-27 12:00:00,0.0,2021-02-27 11:57:00,15.4,0.0,1308,0.0400000000000009
2021-02-28 00:00:00,0.0,2021-02-27 23:57:00,15.4,0.0,1308,0.0400000000000009
2021-03-01 00:00:00,0.0,2021-02-28 23:57:00,15.4,0.0,1308,0.0400000000000009
2021-03-02 12:00:00,0.0,2021-03-02 11:57:00,15.4,0.0,1308,0.0400000000000009
