year,flood_stage,BCD_Contribution,BLN_Contribution,BLO_Contribution,SCH_Contribution
2016,Action,3.4146341463414718,2.4390243902438917,91.70731707317074,2.4390243902438917
2016,Minor Flooding,4.9030786773090025,2.7366020524515524,89.62371721778788,2.7366020524515524
2016,Minor Flooding,4.740904079382579,3.8588754134509053,87.54134509371559,3.8588754134509053
2016,Minor Flooding,3.599550056242958,2.699662542182239,91.00112485939256,2.699662542182239
2016,Minor Flooding,5.1204819277108236,6.325301204819271,82.22891566265065,6.325301204819271
2016,Minor Flooding,4.694323144104802,2.9475982532750975,89.410480349345,2.9475982532750975
2016,Action,4.936974789915948,4.2016806722688935,86.65966386554626,4.2016806722688935
2016,Action,4.206098843322803,4.521556256572026,86.75078864353316,4.521556256572026
2016,Action,5.220883534136548,5.220883534136548,84.33734939759036,5.220883534136548
2016,Action,2.988792029887938,5.977584059775802,85.05603985056045,5.977584059775802
2016,Action,4.556074766355136,5.490654205607533,84.4626168224298,5.490654205607533
2016,Action,5.405405405405368,4.842342342342341,84.90990990990996,4.842342342342341
2016,Action,6.250000000000037,6.673728813559279,80.40254237288141,6.673728813559279
2016,Action,6.316916488222652,5.888650963597465,81.90578158458243,5.888650963597465
2016,Action,4.968287526427121,7.082452431289579,80.86680761099372,7.082452431289579
2017,Action,6.451612903225848,0.0,93.54838709677415,0.0
2017,Action,5.932203389830454,0.0,94.06779661016955,0.0
2017,Minor Flooding,7.5117370892018736,0.0,92.48826291079813,0.0
2017,Minor Flooding,6.304985337243396,0.0,93.6950146627566,0.0
2017,Minor Flooding,5.401662049861498,0.0,94.59833795013851,0.0
2017,Minor Flooding,4.289544235924922,0.0,95.71045576407508,0.0
2017,Action,1.6483516483516474,0.0,98.35164835164835,0.0
2017,Action,4.133333333333311,0.0,95.8666666666667,0.0
2017,Action,3.7135278514588936,0.0,96.28647214854111,0.0
2017,Action,3.8610038610039163,6.949806949806929,82.23938223938222,6.949806949806929
2017,Action,4.04040404040409,3.838383838383921,88.28282828282808,3.838383838383921
2017,Action,2.4439918533604224,3.258655804480579,91.03869653767843,3.258655804480579
2017,Action,2.4999999999999414,0.0,97.50000000000007,0.0
2017,Action,2.328966521106307,2.328966521106202,93.0131004366813,2.328966521106202
2017,Minor Flooding,3.539823008849575,0.0,96.46017699115042,0.0
2017,Action,1.5850144092218914,0.5763688760806689,97.26224783861677,0.5763688760806689
2017,Action,4.968944099378865,4.47204968944098,86.08695652173917,4.47204968944098
2017,Action,4.918032786885243,3.4047919293821214,88.27238335435052,3.4047919293821214
2017,Action,1.1173184357541626,0.0,98.88268156424584,0.0
2017,Action,2.600780234070258,0.0,97.39921976592973,0.0
2017,Action,2.369077306733134,0.4987531172069629,96.63341645885293,0.4987531172069629
2017,Action,3.85542168674698,0.9638554216867233,94.21686746987957,0.9638554216867233
2017,Action,1.4796547472256047,0.986436498150408,96.54747225647358,0.986436498150408
2017,Action,2.2326674500588037,2.702702702702733,92.36192714453574,2.702702702702733
2017,Action,0.9546539379474708,0.4773269689737283,98.09069212410508,0.4773269689737283
2017,Action,2.8004667444574243,0.4667444574095497,96.26604434072348,0.4667444574095497
2017,Action,2.890792291220509,4.282655246252665,88.54389721627416,4.282655246252665
2017,Action,1.3904982618771309,1.3904982618772144,95.82850521436843,1.3904982618772144
2017,Action,0.4767580452920815,0.35756853396893956,98.80810488677004,0.35756853396893956
2017,Action,0.47562425683707904,0.47562425683716475,98.57312722948858,0.47562425683716475
2017,Action,0.0,0.0,100.0,0.0
2017,Action,0.6274509803921416,0.31372549019606616,98.74509803921573,0.31372549019606616
2017,Action,1.725377426312014,1.725377426312014,94.82386772106393,1.725377426312014
2017,Action,3.4320323014804726,2.6244952893673834,91.31897711978476,2.6244952893673834
2017,Minor Flooding,4.356306892067625,3.576072821846574,88.49154746423923,3.576072821846574
2017,Moderate Flooding,1.8493150684931676,2.4657534246575263,93.21917808219177,2.4657534246575263
2017,Moderate Flooding,0.5772005772005632,0.5772005772005632,98.2683982683983,0.5772005772005632
2017,Minor Flooding,1.702127659574476,0.8510638297872593,96.59574468085098,0.8510638297872593
2017,Minor Flooding,4.282800815771557,1.5635622025832487,92.59007477906195,1.5635622025832487
2017,Action,3.851174934725869,3.590078328981699,88.96866840731073,3.590078328981699
2017,Action,0.5767844268204614,0.5767844268205133,98.26964671953853,0.5767844268205133
2017,Action,0.0,0.5776173285198929,98.84476534296023,0.5776173285198929
2017,Action,1.606425702811351,0.8032128514055912,96.78714859437747,0.8032128514055912
2017,Minor Flooding,2.8725314183123136,3.411131059246037,90.30520646319563,3.411131059246037
2017,Minor Flooding,4.0609137055837765,5.414551607444995,85.10998307952623,5.414551607444995
2017,Action,5.065359477124225,6.372549019607737,82.18954248366029,6.372549019607737
2017,Action,5.979073243647207,9.417040358744424,75.18684603886393,9.417040358744424
2017,Action,7.768361581920852,10.593220338983057,71.04519774011304,10.593220338983057
2017,Action,0.0,0.0,100.0,0.0
2017,Minor Flooding,1.8202502844140636,1.8202502844140636,94.53924914675783,1.8202502844140636
2017,Minor Flooding,3.004291845493573,3.8626609442059987,89.27038626609442,3.8626609442059987
2017,Minor Flooding,2.06297502714438,3.800217155266023,90.33659066232357,3.800217155266023
2017,Minor Flooding,3.6809815950920886,5.623721881390557,85.0715746421268,5.623721881390557
2017,Minor Flooding,4.066736183524432,4.588112617309743,86.7570385818561,4.588112617309743
2017,Action,5.30697190426644,4.058272632674298,86.57648283038498,4.058272632674298
2017,Action,1.7486338797813816,3.3879781420764545,91.47540983606571,3.3879781420764545
