Latitude,Longitude,Distance_From_Gage,Major_Flooding_NAVD88,Moderate_Flooding_NAVD88,Minor_Flooding_NAVD88,Action_Flooding_NAVD88,Elevation_Factor,Interpolated_Major_Flooding_NAVD88,Interpolated_Moderate_Flooding_NAVD88,Interpolated_Minor_Flooding_NAVD88,Interpolated_Action_Flooding_NAVD88
36.963475,-122.012438,10449.265625164626,251.82,249.56,246.56,244.06,0.5557343922231948,139.9450346496449,138.6890749232205,137.02187174655091,135.6325357659929
36.964155,-122.012306,10390.520552484391,251.82,249.56,246.56,244.06,0.5582372160898275,140.57529575574034,139.31367964737734,137.63896799910785,136.2433749588833
36.964781,-122.012412,10326.147581308504,251.82,249.56,246.56,244.06,0.5609798156181667,141.26593716896673,139.99812278566966,138.3151833388152,136.91273379976977
36.965448,-122.012655,10251.625552833832,251.82,249.56,246.56,244.06,0.5641548140128668,142.06546526472013,140.79047538505105,139.09801094301244,137.68762390798028
36.966131,-122.012909,10175.116387899883,251.82,249.56,246.56,244.06,0.5674144740196754,142.88631284763466,141.60395613635018,139.90171271429116,138.48317652924197
36.96693,-122.01328,10082.227638314507,251.82,249.56,246.56,244.06,0.5713719834548823,143.88289287360845,142.59159219100042,140.8774762406358,139.44904628199856
36.967428,-122.013676,10016.6803651697,251.82,249.56,246.56,244.06,0.5741646139196108,144.58613307723638,143.28852104977807,141.56602720801925,140.1306156732202
36.967607,-122.013911,9988.81484638023,251.82,249.56,246.56,244.06,0.5753518196255603,144.88509521810857,143.58480010575482,141.85874464687814,140.42036509781423
36.967688,-122.014019,9976.130153673588,251.82,249.56,246.56,244.06,0.5758922488087854,145.02118609502836,143.71966961272048,141.99199286629414,140.55226224427219
36.967806,-122.014174,9957.761648493675,251.82,249.56,246.56,244.06,0.5766748358592585,145.21825716607847,143.91497203703656,142.18494752945878,140.74326043981063
36.967925,-122.014751,9919.799482256252,251.82,249.56,246.56,244.06,0.5782922075187554,145.625543697373,144.3186033083806,142.58372668582433,141.13799616702744
36.967963,-122.01569,9873.157166774668,251.82,249.56,246.56,244.06,0.5802793954658664,146.12595736621446,144.8145259324616,143.07368774606402,141.62298925739935
36.968026,-122.016589,9826.413601575552,251.82,249.56,246.56,244.06,0.5822708971400351,146.62745731780365,145.31152509026717,143.56471239884706,142.10903515599696
36.968052,-122.017302,9791.952495398027,251.82,249.56,246.56,244.06,0.5837391067289679,146.99718185648868,145.67793147528124,143.92671415509432,142.4673663882719
36.968052,-122.017302,9791.952495398027,251.82,249.56,246.56,244.06,0.5837391067289679,146.99718185648868,145.67793147528124,143.92671415509432,142.4673663882719
36.968069,-122.01778,9769.054223720728,251.82,249.56,246.56,244.06,0.5847146837134503,147.24285165272104,145.92139646752864,144.1672524163883,142.70546570710468
36.96807,-122.018364,9743.165323191912,251.82,249.56,246.56,244.06,0.5858176759333612,147.520607153539,146.19665920592962,144.43920617812955,142.97466198829613
36.96803,-122.019125,9713.743263431204,251.82,249.56,246.56,244.06,0.5870711978036196,147.8362690309075,146.5094881238713,144.74827453046046,143.2805965359514
36.968093,-122.020441,9650.90316660934,251.82,249.56,246.56,244.06,0.5897484894798657,148.51046462081976,147.1776330345953,145.40838756615568,143.93401634245603
36.968242,-122.021237,9602.55506532037,251.82,249.56,246.56,244.06,0.5918083521422388,149.02917923645856,147.6916923606171,145.9162673041904,144.43674642383482
36.96875,-122.022093,9516.842314131994,251.82,249.56,246.56,244.06,0.5954601293817824,149.94876978092043,148.60302988851763,146.81664950037228,145.3279991769178
36.969115,-122.022393,9468.529435189776,251.82,249.56,246.56,244.06,0.5975184914020409,150.46710650486196,149.11671471429335,147.32415924008723,145.8303630115821
36.96963,-122.022685,9405.864133997398,251.82,249.56,246.56,244.06,0.6001883359401137,151.13942675643943,149.78300111721478,147.98243610939443,146.48196526954413
36.970113,-122.022872,9350.740753980524,251.82,249.56,246.56,244.06,0.6025368582045538,151.73083163307075,150.36909833352846,148.56148775891478,147.0551456134034
36.970706,-122.022968,9288.71290465278,251.82,249.56,246.56,244.06,0.605179544213956,152.3963128239584,151.02860705403486,149.213068421393,147.7001195608581
36.971805,-122.023174,9172.722236141755,251.82,249.56,246.56,244.06,0.6101213069901514,153.64074752625993,152.2618733724622,150.43150945149173,148.90620618401636
36.971805,-122.023174,9172.722236141755,251.82,249.56,246.56,244.06,0.6101213069901514,153.64074752625993,152.2618733724622,150.43150945149173,148.90620618401636
36.971826,-122.023178,9170.505010569545,251.82,249.56,246.56,244.06,0.6102157715099257,153.66453558162948,152.28544793801706,150.45480062348727,148.92926119471247
36.972738,-122.023186,9081.39611445447,251.82,249.56,246.56,244.06,0.6140122409285623,154.62056251063055,153.232894846132,151.39085812334633,149.85582752102493
36.973402,-122.023033,9023.56265105904,251.82,249.56,246.56,244.06,0.6164762258360967,155.24104319004587,153.8478069196563,151.99837824214802,150.45718767755778
36.973999,-122.022961,8968.912967441269,251.82,249.56,246.56,244.06,0.6188045663457256,155.8273658971806,154.42886757723926,152.57245387820208,151.0254424623378
36.974073,-122.022952,8962.153487963533,251.82,249.56,246.56,244.06,0.6190925528234168,155.8998866519928,154.5007374826119,152.64345982414164,151.0957284420831
36.974412,-122.022989,8927.783748503736,251.82,249.56,246.56,244.06,0.6205568697488236,156.26863094014877,154.86617241451643,153.00450180526997,151.4531096308979
36.974979,-122.023062,8869.869409277899,251.82,249.56,246.56,244.06,0.6230243003574074,156.88997931600233,155.48194439719458,153.61287149612238,152.05531074522887
