Latitude,Longitude,Distance_From_Gage,Major_Flooding_NAVD88,Moderate_Flooding_NAVD88,Minor_Flooding_NAVD88,Action_Flooding_NAVD88
36.989229,-122.029199,7232.09744210192,251.82,249.56,246.56,244.06
36.989293,-122.029246,7223.85748899553,251.82,249.56,246.56,244.06
36.989354,-122.029316,7214.809851729124,251.82,249.56,246.56,244.06
36.989477,-122.029437,7197.5211359521845,251.82,249.56,246.56,244.06
36.989683,-122.029553,7172.669603189966,251.82,249.56,246.56,244.06
36.989842,-122.0297,7150.766226871306,251.82,249.56,246.56,244.06
36.989931,-122.029774,7138.898266281199,251.82,249.56,246.56,244.06
36.990061,-122.02988,7121.6620402600765,251.82,249.56,246.56,244.06
36.990255,-122.030033,7096.185829051327,251.82,249.56,246.56,244.06
36.990473,-122.030256,7065.14057971669,251.82,249.56,246.56,244.06
36.990587,-122.030462,7044.683018205289,251.82,249.56,246.56,244.06
36.99063,-122.030524,7037.710378977606,251.82,249.56,246.56,244.06
36.990736,-122.030781,7015.619247023982,251.82,249.56,246.56,244.06
36.990809,-122.031027,6997.181585845004,251.82,249.56,246.56,244.06
36.990905,-122.03127,6976.741405340434,251.82,249.56,246.56,244.06
36.991001,-122.031499,6956.9775019177005,251.82,249.56,246.56,244.06
36.991103,-122.031616,6941.87976193855,251.82,249.56,246.56,244.06
36.991195,-122.031682,6930.104837240611,251.82,249.56,246.56,244.06
36.991305,-122.031741,6916.954423644266,251.82,249.56,246.56,244.06
36.991424,-122.031813,6902.347463523752,251.82,249.56,246.56,244.06
36.991494,-122.031857,6893.678446685199,251.82,249.56,246.56,244.06
36.991589,-122.031975,6879.195306652423,251.82,249.56,246.56,244.06
36.991589,-122.031975,6879.195306652423,251.82,249.56,246.56,244.06
36.991617,-122.032009,6874.9632169742545,251.82,249.56,246.56,244.06
36.99173,-122.032175,6856.545198149792,251.82,249.56,246.56,244.06
36.991848,-122.032477,6831.347078679992,251.82,249.56,246.56,244.06
36.991921,-122.03266,6815.954590458388,251.82,249.56,246.56,244.06
36.99194,-122.032675,6813.459180555072,251.82,249.56,246.56,244.06
36.992032,-122.032745,6801.497848481786,251.82,249.56,246.56,244.06
36.992163,-122.032795,6786.764245233108,251.82,249.56,246.56,244.06
36.992479,-122.032855,6754.045589496604,251.82,249.56,246.56,244.06
36.992583,-122.032867,6743.64372176882,251.82,249.56,246.56,244.06
36.992815,-122.032867,6721.702100033874,251.82,249.56,246.56,244.06
36.993051,-122.032891,6698.286853818843,251.82,249.56,246.56,244.06
36.993364,-122.032916,6667.585627196614,251.82,249.56,246.56,244.06
36.993691,-122.033039,6630.988900829106,251.82,249.56,246.56,244.06
36.994173,-122.03315,6580.396216116323,251.82,249.56,246.56,244.06
36.994396,-122.033188,6557.643189714245,251.82,249.56,246.56,244.06
36.99467,-122.033251,6528.93301570135,251.82,249.56,246.56,244.06
36.994916,-122.033348,6501.246586986908,251.82,249.56,246.56,244.06
36.995054,-122.033447,6483.593209260265,251.82,249.56,246.56,244.06
36.995238,-122.033586,6459.721878459913,251.82,249.56,246.56,244.06
36.995383,-122.033705,6440.459304503008,251.82,249.56,246.56,244.06
36.995574,-122.033892,6413.644913673621,251.82,249.56,246.56,244.06
36.996153,-122.034853,6313.704694814595,251.82,249.56,246.56,244.06
36.996289,-122.035097,6289.403733764957,251.82,249.56,246.56,244.06
36.996371,-122.035282,6272.981316654201,251.82,249.56,246.56,244.06
36.996438,-122.035485,6257.14561243675,251.82,249.56,246.56,244.06
36.99648,-122.035828,6237.172827986936,251.82,249.56,246.56,244.06
36.996502,-122.036181,6218.724093967637,251.82,249.56,246.56,244.06
36.99655,-122.036408,6203.699926466671,251.82,249.56,246.56,244.06
36.996628,-122.036646,6185.351766031317,251.82,249.56,246.56,244.06
36.996734,-122.036797,6168.3472854842175,251.82,249.56,246.56,244.06
36.996798,-122.036858,6159.463409557424,251.82,249.56,246.56,244.06
36.996798,-122.036858,6159.463409557424,251.82,249.56,246.56,244.06
36.996863,-122.036919,6150.4845112149305,251.82,249.56,246.56,244.06
36.996895,-122.036916,6147.576145393262,251.82,249.56,246.56,244.06
36.996986,-122.036907,6139.330738093099,251.82,249.56,246.56,244.06
36.997281,-122.036857,6113.600298278067,251.82,249.56,246.56,244.06
36.997418,-122.036832,6101.757133568682,251.82,249.56,246.56,244.06
36.997611,-122.036803,6084.811050361259,251.82,249.56,246.56,244.06
36.997902,-122.036728,6060.77559447273,251.82,249.56,246.56,244.06
36.997988,-122.036708,6053.587185957924,251.82,249.56,246.56,244.06
36.998138,-122.036662,6041.587705893155,251.82,249.56,246.56,244.06
36.99842,-122.036578,6018.978981883805,251.82,249.56,246.56,244.06
36.998554,-122.036564,6007.039674327604,251.82,249.56,246.56,244.06
36.998851,-122.036473,5983.479668106367,251.82,249.56,246.56,244.06
36.998938,-122.036432,5977.281736719383,251.82,249.56,246.56,244.06
36.999067,-122.036373,5968.02683320093,251.82,249.56,246.56,244.06
36.999226,-122.036297,5956.811180951229,251.82,249.56,246.56,244.06
36.99932,-122.036277,5948.997673959879,251.82,249.56,246.56,244.06
36.999626,-122.03619,5924.682965178284,251.82,249.56,246.56,244.06
36.999838,-122.036168,5906.035927069465,251.82,249.56,246.56,244.06
36.999981,-122.036144,5893.9250075801165,251.82,249.56,246.56,244.06
37.000217,-122.036143,5872.086922198318,251.82,249.56,246.56,244.06
37.000478,-122.036125,5848.808123099824,251.82,249.56,246.56,244.06
37.000623,-122.03608,5837.624413407018,251.82,249.56,246.56,244.06
37.000778,-122.03605,5824.8015448750875,251.82,249.56,246.56,244.06
37.000969,-122.036052,5807.097797101631,251.82,249.56,246.56,244.06
37.00108,-122.036087,5795.137569981898,251.82,249.56,246.56,244.06
37.00138,-122.03621,5761.41290907357,251.82,249.56,246.56,244.06
37.001509,-122.036314,5744.368089137269,251.82,249.56,246.56,244.06
37.001626,-122.036407,5728.974920427546,251.82,249.56,246.56,244.06
37.001884,-122.036592,5696.032125086893,251.82,249.56,246.56,244.06
37.002101,-122.036774,5667.008424511569,251.82,249.56,246.56,244.06
37.002161,-122.036837,5658.351318946597,251.82,249.56,246.56,244.06
37.002289,-122.036997,5638.607982280554,251.82,249.56,246.56,244.06
37.002439,-122.037137,5617.838679550058,251.82,249.56,246.56,244.06
37.002774,-122.037425,5572.68238718502,251.82,249.56,246.56,244.06
37.002955,-122.037626,5546.025691963905,251.82,249.56,246.56,244.06
37.003157,-122.037967,5510.488542249051,251.82,249.56,246.56,244.06
37.003301,-122.038246,5483.397982895557,251.82,249.56,246.56,244.06
37.003301,-122.038246,5483.397982895557,251.82,249.56,246.56,244.06
37.003403,-122.038444,5464.205644102998,251.82,249.56,246.56,244.06
37.003522,-122.038591,5445.964302775311,251.82,249.56,246.56,244.06
37.003733,-122.038876,5412.429322323646,251.82,249.56,246.56,244.06
37.003981,-122.039196,5373.7638226301415,251.82,249.56,246.56,244.06
37.004142,-122.039377,5349.978979973534,251.82,249.56,246.56,244.06
37.004267,-122.039504,5332.176202644867,251.82,249.56,246.56,244.06
37.004463,-122.039761,5301.434658911283,251.82,249.56,246.56,244.06
37.004549,-122.0399,5286.669210734216,251.82,249.56,246.56,244.06
37.004592,-122.039976,5278.971581449418,251.82,249.56,246.56,244.06
37.004832,-122.040487,5231.835258921081,251.82,249.56,246.56,244.06
37.004891,-122.040605,5220.632091523171,251.82,249.56,246.56,244.06
37.004979,-122.040778,5204.076782454813,251.82,249.56,246.56,244.06
37.005063,-122.040889,5190.8902740597305,251.82,249.56,246.56,244.06
37.005203,-122.041139,5165.794144778156,251.82,249.56,246.56,244.06
37.005295,-122.041268,5151.005068149335,251.82,249.56,246.56,244.06
37.005444,-122.04146,5127.870420415834,251.82,249.56,246.56,244.06
37.005587,-122.041599,5107.83769759391,251.82,249.56,246.56,244.06
37.005694,-122.041646,5095.576760275637,251.82,249.56,246.56,244.06
37.005816,-122.041657,5083.64148150768,251.82,249.56,246.56,244.06
37.005993,-122.041628,5068.504824478473,251.82,249.56,246.56,244.06
37.006078,-122.04161,5061.443880763024,251.82,249.56,246.56,244.06
37.006211,-122.041592,5049.920065499863,251.82,249.56,246.56,244.06
37.006311,-122.041562,5042.065892178353,251.82,249.56,246.56,244.06
37.006389,-122.04149,5038.3134545823905,251.82,249.56,246.56,244.06
37.006475,-122.041394,5035.0112650715255,251.82,249.56,246.56,244.06
37.00657,-122.041268,5032.378025881461,251.82,249.56,246.56,244.06
37.00663,-122.041166,5031.84239648177,251.82,249.56,246.56,244.06
37.006683,-122.041077,5031.335818510373,251.82,249.56,246.56,244.06
37.006771,-122.040918,5031.094584752128,251.82,249.56,246.56,244.06
37.006867,-122.040738,5031.225164508752,251.82,249.56,246.56,244.06
37.006915,-122.040641,5031.6685317055235,251.82,249.56,246.56,244.06
37.00699,-122.04051,5031.367910388655,251.82,249.56,246.56,244.06
37.007058,-122.040434,5028.972580374506,251.82,249.56,246.56,244.06
37.007132,-122.040387,5024.582303341288,251.82,249.56,246.56,244.06
37.007219,-122.040338,5019.120377217462,251.82,249.56,246.56,244.06
37.007268,-122.040332,5014.95543451084,251.82,249.56,246.56,244.06
37.00734,-122.040327,5008.646162429103,251.82,249.56,246.56,244.06
37.007417,-122.040315,5002.242620312247,251.82,249.56,246.56,244.06
37.007486,-122.040303,4996.573555366949,251.82,249.56,246.56,244.06
37.00753,-122.04029,4993.234208250402,251.82,249.56,246.56,244.06
37.007588,-122.040273,4988.829670679779,251.82,249.56,246.56,244.06
37.007676,-122.040255,4981.757275125569,251.82,249.56,246.56,244.06
37.007767,-122.04024,4974.268548132542,251.82,249.56,246.56,244.06
37.007832,-122.040241,4968.323713733695,251.82,249.56,246.56,244.06
37.00792,-122.04025,4959.887458020065,251.82,249.56,246.56,244.06
37.007931,-122.040251,4958.839707625224,251.82,249.56,246.56,244.06
37.00801,-122.04028,4950.1939424941365,251.82,249.56,246.56,244.06
37.008086,-122.040297,4942.439730067688,251.82,249.56,246.56,244.06
37.008147,-122.040373,4933.004095243068,251.82,249.56,246.56,244.06
37.00817,-122.040453,4926.803804301516,251.82,249.56,246.56,244.06
37.008226,-122.040671,4910.532946587064,251.82,249.56,246.56,244.06
37.008299,-122.040972,4888.510716719026,251.82,249.56,246.56,244.06
37.008319,-122.041134,4878.440279249439,251.82,249.56,246.56,244.06
37.008319,-122.041134,4878.440279249439,251.82,249.56,246.56,244.06
37.008335,-122.041275,4869.822236328462,251.82,249.56,246.56,244.06
37.008384,-122.041797,4839.01041764177,251.82,249.56,246.56,244.06
37.008393,-122.041952,4830.420117516469,251.82,249.56,246.56,244.06
37.008387,-122.042042,4826.4748540283945,251.82,249.56,246.56,244.06
37.00837,-122.04219,4820.665753059917,251.82,249.56,246.56,244.06
37.008368,-122.042314,4814.693133239203,251.82,249.56,246.56,244.06
37.008382,-122.042499,4804.247491222886,251.82,249.56,246.56,244.06
37.00838,-122.042636,4797.677575488946,251.82,249.56,246.56,244.06
37.008351,-122.043025,4781.308323392148,251.82,249.56,246.56,244.06
37.008337,-122.043113,4778.323997483873,251.82,249.56,246.56,244.06
37.008333,-122.04314,4777.383183089725,251.82,249.56,246.56,244.06
37.008328,-122.043395,4765.494431792707,251.82,249.56,246.56,244.06
37.008334,-122.043686,4750.92897128898,251.82,249.56,246.56,244.06
37.008347,-122.044206,4724.929021035983,251.82,249.56,246.56,244.06
37.008374,-122.044355,4715.3462648364475,251.82,249.56,246.56,244.06
37.008399,-122.044456,4708.231067737528,251.82,249.56,246.56,244.06
37.008422,-122.044539,4702.158582903046,251.82,249.56,246.56,244.06
37.008456,-122.044623,4695.007184809282,251.82,249.56,246.56,244.06
37.008509,-122.044695,4686.630479953744,251.82,249.56,246.56,244.06
37.008569,-122.044753,4678.251060254086,251.82,249.56,246.56,244.06
37.008682,-122.044807,4665.06103511398,251.82,249.56,246.56,244.06
37.008693,-122.044809,4663.930008581078,251.82,249.56,246.56,244.06
37.008886,-122.044847,4643.957161638979,251.82,249.56,246.56,244.06
37.009011,-122.044832,4632.899184956766,251.82,249.56,246.56,244.06
37.009129,-122.044794,4623.603982844529,251.82,249.56,246.56,244.06
37.00923,-122.044769,4615.30695375638,251.82,249.56,246.56,244.06
37.009321,-122.044718,4609.199547121153,251.82,249.56,246.56,244.06
37.009613,-122.044524,4591.189437709515,251.82,249.56,246.56,244.06
37.009898,-122.044351,4573.030920541464,251.82,249.56,246.56,244.06
37.010123,-122.044213,4558.905555143052,251.82,249.56,246.56,244.06
37.010465,-122.044049,4535.4063926599665,251.82,249.56,246.56,244.06
37.010594,-122.043937,4529.104751790194,251.82,249.56,246.56,244.06
37.010671,-122.043875,4525.1284107028005,251.82,249.56,246.56,244.06
37.010774,-122.043792,4519.842978631099,251.82,249.56,246.56,244.06
37.01086,-122.043721,4515.5421949649835,251.82,249.56,246.56,244.06
37.010944,-122.043641,4511.904139458767,251.82,249.56,246.56,244.06
37.011016,-122.043567,4509.08317137539,251.82,249.56,246.56,244.06
37.011245,-122.043334,4500.136483930488,251.82,249.56,246.56,244.06
37.011328,-122.043265,4496.153931119722,251.82,249.56,246.56,244.06
37.011387,-122.043201,4494.108067568698,251.82,249.56,246.56,244.06
37.011462,-122.043126,4491.20150099973,251.82,249.56,246.56,244.06
37.011542,-122.043021,4489.424763876839,251.82,249.56,246.56,244.06
37.011648,-122.042846,4488.999778413246,251.82,249.56,246.56,244.06
37.011745,-122.042729,4486.42029708007,251.82,249.56,246.56,244.06
37.011845,-122.04266,4481.092168670639,251.82,249.56,246.56,244.06
37.011972,-122.042583,4473.805928015423,251.82,249.56,246.56,244.06
37.012079,-122.042555,4465.7445381657035,251.82,249.56,246.56,244.06
37.012208,-122.042537,4455.212060099891,251.82,249.56,246.56,244.06
37.01227,-122.04254,4449.537219922905,251.82,249.56,246.56,244.06
37.01227,-122.04254,4449.537219922905,251.82,249.56,246.56,244.06
37.01231,-122.042542,4445.874410728155,251.82,249.56,246.56,244.06
37.012414,-122.042577,4434.767263561785,251.82,249.56,246.56,244.06
37.012578,-122.042675,4414.9733412471305,251.82,249.56,246.56,244.06
37.012697,-122.042846,4395.277953564834,251.82,249.56,246.56,244.06
37.012813,-122.043041,4374.575054292346,251.82,249.56,246.56,244.06
37.012899,-122.043251,4355.755245365685,251.82,249.56,246.56,244.06
37.012947,-122.043367,4345.323897468036,251.82,249.56,246.56,244.06
37.013015,-122.043683,4322.547745372332,251.82,249.56,246.56,244.06
37.013061,-122.043842,4310.061136165917,251.82,249.56,246.56,244.06
37.013155,-122.044169,4284.486954489692,251.82,249.56,246.56,244.06
37.013206,-122.044414,4267.121015608037,251.82,249.56,246.56,244.06
37.013311,-122.044793,4237.993860000019,251.82,249.56,246.56,244.06
37.013353,-122.044996,4223.7230703536225,251.82,249.56,246.56,244.06
37.013401,-122.045164,4210.738148425623,251.82,249.56,246.56,244.06
37.013436,-122.045327,4199.209319747029,251.82,249.56,246.56,244.06
37.0135,-122.04551,4184.045099100361,251.82,249.56,246.56,244.06
37.013563,-122.045707,4168.280899633558,251.82,249.56,246.56,244.06
37.013646,-122.045887,4151.579005926071,251.82,249.56,246.56,244.06
37.013806,-122.046055,4128.469192895066,251.82,249.56,246.56,244.06
37.013899,-122.046108,4117.298681195905,251.82,249.56,246.56,244.06
37.014057,-122.046201,4098.173032904618,251.82,249.56,246.56,244.06
37.014473,-122.046351,4052.6621342393732,251.82,249.56,246.56,244.06
37.014533,-122.046379,4045.7779849185113,251.82,249.56,246.56,244.06
37.01461,-122.046402,4037.60528983068,251.82,249.56,246.56,244.06
37.014767,-122.046453,4020.7393190793123,251.82,249.56,246.56,244.06
37.014897,-122.046488,4007.1523527833674,251.82,249.56,246.56,244.06
37.015232,-122.046635,3969.24965246586,251.82,249.56,246.56,244.06
37.015614,-122.046821,3925.1149313558612,251.82,249.56,246.56,244.06
37.015839,-122.046934,3898.9555906325336,251.82,249.56,246.56,244.06
37.015942,-122.046984,3887.0736139903483,251.82,249.56,246.56,244.06
37.016199,-122.047172,3854.148560850996,251.82,249.56,246.56,244.06
37.016367,-122.047313,3831.685846231301,251.82,249.56,246.56,244.06
37.01655,-122.047407,3810.3175645342562,251.82,249.56,246.56,244.06
37.016696,-122.047425,3796.2483794477776,251.82,249.56,246.56,244.06
37.016865,-122.047448,3779.8715988568465,251.82,249.56,246.56,244.06
37.016978,-122.047488,3767.6418814887807,251.82,249.56,246.56,244.06
37.017096,-122.047532,3754.759587540357,251.82,249.56,246.56,244.06
37.017209,-122.047586,3741.803800989587,251.82,249.56,246.56,244.06
37.017269,-122.047614,3734.9614110176726,251.82,249.56,246.56,244.06
37.017409,-122.047652,3720.442343134897,251.82,249.56,246.56,244.06
37.017454,-122.047668,3715.5778864363947,251.82,249.56,246.56,244.06
37.017454,-122.047668,3715.5778864363947,251.82,249.56,246.56,244.06
37.017526,-122.047695,3707.72256902026,251.82,249.56,246.56,244.06
37.017963,-122.047923,3656.681733101321,251.82,249.56,246.56,244.06
37.01804,-122.047961,3647.8083801829234,251.82,249.56,246.56,244.06
37.018162,-122.048029,3633.337625369223,251.82,249.56,246.56,244.06
37.018274,-122.048087,3620.2914954062635,251.82,249.56,246.56,244.06
37.018363,-122.048116,3610.8386946392015,251.82,249.56,246.56,244.06
37.018499,-122.048202,3594.173076914355,251.82,249.56,246.56,244.06
37.018728,-122.048369,3564.928875100987,251.82,249.56,246.56,244.06
37.018855,-122.04847,3548.2630014711813,251.82,249.56,246.56,244.06
37.019008,-122.048602,3527.633001795766,251.82,249.56,246.56,244.06
37.019139,-122.048715,3509.970626686399,251.82,249.56,246.56,244.06
37.019245,-122.048831,3494.3633976170768,251.82,249.56,246.56,244.06
37.019415,-122.049008,3469.817365445266,251.82,249.56,246.56,244.06
37.019659,-122.049232,3436.194934070881,251.82,249.56,246.56,244.06
37.019876,-122.049422,3406.7863174716094,251.82,249.56,246.56,244.06
37.019915,-122.04945,3401.8301361565386,251.82,249.56,246.56,244.06
37.020079,-122.049612,3378.618856174133,251.82,249.56,246.56,244.06
37.020159,-122.049681,3367.833085470083,251.82,249.56,246.56,244.06
37.02022,-122.049753,3358.570855530771,251.82,249.56,246.56,244.06
37.020267,-122.049827,3350.443536343691,251.82,249.56,246.56,244.06
37.020494,-122.050104,3315.497245621686,251.82,249.56,246.56,244.06
37.020607,-122.050273,3296.4448197821193,251.82,249.56,246.56,244.06
37.020963,-122.050801,3236.6969916572093,251.82,249.56,246.56,244.06
37.021132,-122.051497,3184.9858726993457,251.82,249.56,246.56,244.06
37.021044,-122.052076,3163.0846120091373,251.82,249.56,246.56,244.06
37.02084,-122.052596,3155.509713629543,251.82,249.56,246.56,244.06
37.020645,-122.052808,3162.9920651511643,251.82,249.56,246.56,244.06
37.020594,-122.052869,3164.7167645785526,251.82,249.56,246.56,244.06
37.020516,-122.052948,3168.087157241202,251.82,249.56,246.56,244.06
37.020427,-122.053006,3173.535506713601,251.82,249.56,246.56,244.06
37.020334,-122.05305,3180.062817066344,251.82,249.56,246.56,244.06
37.020185,-122.053107,3191.220142343876,251.82,249.56,246.56,244.06
37.020117,-122.053137,3196.139380205282,251.82,249.56,246.56,244.06
37.019981,-122.053187,3206.490996678597,251.82,249.56,246.56,244.06
37.019824,-122.053219,3219.7117456875703,251.82,249.56,246.56,244.06
37.019689,-122.053238,3231.5148075783964,251.82,249.56,246.56,244.06
37.019634,-122.053239,3236.648180168933,251.82,249.56,246.56,244.06
37.019634,-122.053239,3236.648180168933,251.82,249.56,246.56,244.06
37.019541,-122.053241,3245.3214024773374,251.82,249.56,246.56,244.06
37.019405,-122.053236,3258.3922896827594,251.82,249.56,246.56,244.06
37.019312,-122.053226,3267.6472207022384,251.82,249.56,246.56,244.06
37.018532,-122.053059,3349.330931412055,251.82,249.56,246.56,244.06
37.018354,-122.053,3368.9700034175817,251.82,249.56,246.56,244.06
37.018171,-122.052917,3390.1900222933896,251.82,249.56,246.56,244.06
37.017822,-122.052723,3432.2972526148324,251.82,249.56,246.56,244.06
37.017725,-122.052667,3444.096372061417,251.82,249.56,246.56,244.06
37.017621,-122.052597,3457.200434509967,251.82,249.56,246.56,244.06
37.017525,-122.052508,3470.406142757948,251.82,249.56,246.56,244.06
37.017423,-122.052425,3483.911174274371,251.82,249.56,246.56,244.06
37.017366,-122.052358,3492.3974762521357,251.82,249.56,246.56,244.06
37.017273,-122.052247,3506.322598382964,251.82,249.56,246.56,244.06
37.017188,-122.052173,3517.798214369206,251.82,249.56,246.56,244.06
37.017108,-122.052116,3528.0213731571935,251.82,249.56,246.56,244.06
37.016974,-122.052081,3542.3873667321395,251.82,249.56,246.56,244.06
37.016837,-122.052045,3557.0919378461476,251.82,249.56,246.56,244.06
37.016677,-122.052034,3572.8679881980383,251.82,249.56,246.56,244.06
37.01648,-122.052023,3592.2034122093946,251.82,249.56,246.56,244.06
37.016322,-122.052025,3607.2465039755807,251.82,249.56,246.56,244.06
37.016191,-122.052023,3619.8994791203995,251.82,249.56,246.56,244.06
37.016077,-122.052005,3631.646913029986,251.82,249.56,246.56,244.06
37.015939,-122.051976,3646.1972451246966,251.82,249.56,246.56,244.06
37.015799,-122.05194,3661.2586577499114,251.82,249.56,246.56,244.06
37.015706,-122.05193,3670.651089994585,251.82,249.56,246.56,244.06
37.015569,-122.051898,3685.259406534531,251.82,249.56,246.56,244.06
37.015345,-122.051778,3712.1416693576807,251.82,249.56,246.56,244.06
37.015101,-122.051675,3740.2068463124124,251.82,249.56,246.56,244.06
37.014982,-122.051638,3753.315767948006,251.82,249.56,246.56,244.06
