event_id,phase,gage_height_mean,cumulative_rainfall_sum,intensity_mean,discharge_mean,flood_stage_mode
9970,pre_peak,17.365000000000002,0.05750000000000022,0.0026366243961352246,9002.5,Minor Flooding
9970,post_peak,16.6575,-0.037499999999999534,0.00287967995169075,8172.5,Action
14876,pre_peak,15.426666666666668,0.0908333333333341,0.0083541666666666,6440.0,Action
14876,post_peak,15.370000000000001,0.048333333333333006,0.009666666666666601,6377.5,Action
15107,pre_peak,16.520000000000003,0.10333333333333328,0.004512061403508724,7690.0,Action
15107,post_peak,16.22,0.026666666666667393,0.00540935672514614,7334.0,Action
15144,pre_peak,15.931071428571427,0.7233333333333327,0.005276951058201011,7106.785714285715,Action
15144,post_peak,16.496000000000002,-0.02083333333333326,0.00831597222222218,7966.0,Action
15171,pre_peak,16.412857142857142,0.3474999999999985,0.004779718456725693,1211.4285714285713,Action
15171,post_peak,,,,,
15360,pre_peak,17.872222222222224,0.3024999999999992,0.0039844926227039605,4547.777777777777,Action
15360,post_peak,15.10125,-0.00999999999999801,0.006004403794037875,2043.75,Action
15451,pre_peak,16.88888888888889,0.27666666666666995,0.005572951739618356,4262.222222222223,Action
15451,post_peak,,,,,
28283,pre_peak,15.67,0.0,0.0038844086021505,989.0,Action
28283,post_peak,16.12333333333333,0.07416666666666671,0.0040474910394265005,946.6666666666666,Minor Flooding
28515,pre_peak,14.219999999999999,0.16916666666666647,0.00325998463901686,1468.2,Action
28515,post_peak,14.08,0.0,0.0035522273425499,4830.0,Action
45793,pre_peak,14.971111111111112,0.09333333333333282,0.006863929146537788,731.0,Action
45793,post_peak,,,,,
52376,pre_peak,18.653846153846153,0.2933333333333339,0.005489299007444131,1776.5384615384614,Action
52376,post_peak,,,,,
52394,pre_peak,19.129285714285714,0.6525000000000003,0.007514499389499343,1581.4285714285713,Action
52394,post_peak,17.970909090909092,0.0825000000000009,0.00934999028749022,2369.090909090909,Action
52985,pre_peak,17.2,0.16833333333333128,0.0023592047930282834,672.4166666666666,Minor Flooding
52985,post_peak,15.802000000000001,0.14000000000000168,0.0045140522875816306,1206.0,Action
58218,pre_peak,14.4725,-0.02583333333333293,0.003554942810457475,668.0,Action
58218,post_peak,,,,,
